Timestamp,Trend Flags,Status,Value (kW)
09-Jan-25 10:15:00 PM WEST,{ },{ok},4.5
09-Jan-25 10:30:00 PM WEST,{ },{ok},5.0
09-Jan-25 10:45:00 PM WEST,{ },{ok},5.3
09-Jan-25 11:00:00 PM WEST,{ },{ok},3.0
09-Jan-25 11:15:00 PM WEST,{ },{ok},0.3
09-Jan-25 11:30:00 PM WEST,{ },{ok},2.6
09-Jan-25 11:45:04 PM WEST,{ },{ok},0.3
10-Jan-25 12:00:00 AM WEST,{ },{ok},5.1
10-Jan-25 12:15:01 AM WEST,{ },{ok},3.0
10-Jan-25 12:30:01 AM WEST,{ },{ok},2.9
10-Jan-25 12:45:02 AM WEST,{ },{ok},0.3
10-Jan-25 1:00:01 AM WEST,{ },{ok},0.3
10-Jan-25 1:15:00 AM WEST,{ },{ok},2.7
10-Jan-25 1:30:04 AM WEST,{ },{ok},2.7
10-Jan-25 1:45:02 AM WEST,{ },{ok},0.3
10-Jan-25 2:00:01 AM WEST,{ },{ok},0.3
10-Jan-25 2:15:01 AM WEST,{ },{ok},5.1
10-Jan-25 2:30:01 AM WEST,{ },{ok},5.0
10-Jan-25 2:45:02 AM WEST,{ },{ok},0.3
10-Jan-25 3:00:00 AM WEST,{ },{ok},0.3
10-Jan-25 3:15:01 AM WEST,{ },{ok},5.1
10-Jan-25 3:30:01 AM WEST,{ },{ok},5.0
10-Jan-25 3:45:01 AM WEST,{ },{ok},0.3
10-Jan-25 4:00:02 AM WEST,{ },{ok},0.3
10-Jan-25 4:15:01 AM WEST,{ },{ok},2.8
10-Jan-25 4:30:00 AM WEST,{ },{ok},0.3
10-Jan-25 4:45:02 AM WEST,{ },{ok},5.1
10-Jan-25 5:00:02 AM WEST,{ },{ok},0.3
10-Jan-25 5:15:02 AM WEST,{ },{ok},0.3
10-Jan-25 5:30:02 AM WEST,{ },{ok},5.1
10-Jan-25 5:45:01 AM WEST,{ },{ok},0.3
10-Jan-25 6:00:00 AM WEST,{ },{ok},0.3
10-Jan-25 6:15:00 AM WEST,{ },{ok},5.1
10-Jan-25 6:30:00 AM WEST,{ },{ok},0.3
10-Jan-25 6:45:00 AM WEST,{ },{ok},0.3
10-Jan-25 7:00:00 AM WEST,{ },{ok},5.0
