Timestamp,Trend Flags,Status,Value (kW)
08-Jan-25 10:45:00 PM WEST,{ },{ok},14.6
08-Jan-25 11:00:00 PM WEST,{ },{ok},19.8
08-Jan-25 11:15:00 PM WEST,{ },{ok},19.8
08-Jan-25 11:30:00 PM WEST,{ },{ok},17.6
08-Jan-25 11:45:01 PM WEST,{ },{ok},14.8
09-Jan-25 12:00:00 AM WEST,{ },{ok},14.7
09-Jan-25 12:15:00 AM WEST,{ },{ok},14.4
09-Jan-25 12:30:01 AM WEST,{ },{ok},13.6
09-Jan-25 12:45:00 AM WEST,{ },{ok},19.9
09-Jan-25 1:00:00 AM WEST,{ },{ok},16.1
09-Jan-25 1:15:00 AM WEST,{ },{ok},14.0
09-Jan-25 1:30:00 AM WEST,{ },{ok},14.8
09-Jan-25 1:45:00 AM WEST,{ },{ok},11.9
09-Jan-25 2:00:01 AM WEST,{ },{ok},12.1
09-Jan-25 2:15:01 AM WEST,{ },{ok},16.4
09-Jan-25 2:30:00 AM WEST,{ },{ok},16.1
09-Jan-25 2:45:00 AM WEST,{ },{ok},16.0
09-Jan-25 3:00:00 AM WEST,{ },{ok},11.3
09-Jan-25 3:15:00 AM WEST,{ },{ok},10.8
09-Jan-25 3:30:00 AM WEST,{ },{ok},15.4
09-Jan-25 3:45:00 AM WEST,{ },{ok},11.2
09-Jan-25 4:00:00 AM WEST,{ },{ok},10.5
09-Jan-25 4:15:01 AM WEST,{ },{ok},10.5
09-Jan-25 4:30:01 AM WEST,{ },{ok},17.2
09-Jan-25 4:45:01 AM WEST,{ },{ok},10.4
09-Jan-25 5:00:00 AM WEST,{ },{ok},10.5
09-Jan-25 5:15:01 AM WEST,{ },{ok},15.0
09-Jan-25 5:30:00 AM WEST,{ },{ok},10.4
09-Jan-25 5:45:01 AM WEST,{ },{ok},12.2
09-Jan-25 6:00:01 AM WEST,{ },{ok},14.9
09-Jan-25 6:15:00 AM WEST,{ },{ok},10.1
09-Jan-25 6:30:01 AM WEST,{ },{ok},12.0
09-Jan-25 6:45:00 AM WEST,{ },{ok},10.3
09-Jan-25 7:00:00 AM WEST,{ },{ok},10.3
09-Jan-25 7:15:00 AM WEST,{ },{ok},15.4
09-Jan-25 7:30:00 AM WEST,{ },{ok},13.3
09-Jan-25 7:45:00 AM WEST,{ },{ok},13.6
09-Jan-25 8:00:00 AM WEST,{ },{ok},11.8
09-Jan-25 8:15:00 AM WEST,{ },{ok},12.0
09-Jan-25 8:30:00 AM WEST,{ },{ok},11.9
09-Jan-25 8:45:00 AM WEST,{ },{ok},12.0
