Timestamp;Trend Flags;Status;Value
26-May-25 8:33:35 AM WEST;{ };{ok};Ouverte
26-May-25 10:22:07 AM WEST;{ };{ok};Fermé
26-May-25 2:43:30 PM WEST;{ };{ok};Ouverte
26-May-25 2:43:32 PM WEST;{ };{ok};Fermé
26-May-25 2:43:44 PM WEST;{ };{ok};Ouverte
26-May-25 2:43:46 PM WEST;{ };{ok};Fermé
26-May-25 2:43:49 PM WEST;{ };{ok};Ouverte
26-May-25 2:45:23 PM WEST;{ };{ok};Fermé
28-May-25 9:27:39 AM WEST;{ };{ok};Ouverte
28-May-25 9:34:46 AM WEST;{ };{ok};Fermé
28-May-25 9:39:34 AM WEST;{ };{ok};Ouverte
28-May-25 10:08:52 AM WEST;{ };{ok};Fermé
28-May-25 10:22:58 AM WEST;{ };{ok};Ouverte
28-May-25 11:23:47 AM WEST;{ };{ok};Fermé
28-May-25 11:25:53 AM WEST;{ };{ok};Ouverte
28-May-25 11:50:55 AM WEST;{ };{ok};Fermé
28-May-25 11:55:21 AM WEST;{ };{ok};Ouverte
28-May-25 11:56:33 AM WEST;{ };{ok};Fermé
12-Jun-25 10:10:52 AM WEST;{start};{ok};Fermé
12-Jun-25 11:16:54 AM WEST;{start};{ok};Fermé
12-Jun-25 11:26:50 AM WEST;{start};{ok};Fermé
12-Jun-25 11:29:23 AM WEST;{start};{ok};Fermé
19-Jun-25 12:01:55 PM WEST;{ };{down};Fermé
23-Jun-25 10:46:07 AM WEST;{start};{down,stale};Ouverte
23-Jun-25 10:50:03 AM WEST;{ };{stale};Ouverte
23-Jun-25 10:50:04 AM WEST;{ };{ok};Fermé
25-Jun-25 8:31:42 AM WEST;{start};{ok};Fermé
