history:GTC_Multisite_Inwi/BGU-ONE Active Power Clim;;;
;;;
Timestamp;Trend Flags;Status;Value (kW)
25-Dec-24 11:45:01 AM WEST;{ };{ok};0.3
25-Dec-24 12:00:01 PM WEST;{ };{ok};3.8
25-Dec-24 12:15:01 PM WEST;{ };{ok};1.1
25-Dec-24 12:30:01 PM WEST;{ };{ok};1.0
25-Dec-24 12:45:01 PM WEST;{ };{ok};0.3
25-Dec-24 1:00:00 PM WEST;{ };{ok};3.7
25-Dec-24 1:15:00 PM WEST;{ };{ok};4.7
25-Dec-24 1:30:00 PM WEST;{ };{ok};0.3
25-Dec-24 1:45:00 PM WEST;{ };{ok};1.1
25-Dec-24 2:00:00 PM WEST;{ };{ok};4.5
25-Dec-24 2:15:01 PM WEST;{ };{ok};4.8
25-Dec-24 2:30:00 PM WEST;{ };{ok};0.9
25-Dec-24 2:45:01 PM WEST;{ };{ok};1.1
25-Dec-24 3:00:00 PM WEST;{ };{ok};1.1
25-Dec-24 3:15:01 PM WEST;{ };{ok};4.8
25-Dec-24 3:30:00 PM WEST;{ };{ok};1.1
25-Dec-24 3:45:00 PM WEST;{ };{ok};1.1
25-Dec-24 4:00:00 PM WEST;{ };{ok};1.1
25-Dec-24 4:15:01 PM WEST;{ };{ok};0.3
25-Dec-24 4:30:00 PM WEST;{ };{ok};1.1
25-Dec-24 4:45:01 PM WEST;{ };{ok};0.3
25-Dec-24 5:00:00 PM WEST;{ };{ok};0.3
25-Dec-24 5:15:00 PM WEST;{ };{ok};1.1
25-Dec-24 5:30:00 PM WEST;{ };{ok};2.3
25-Dec-24 5:45:01 PM WEST;{ };{ok};4.8
25-Dec-24 6:00:00 PM WEST;{ };{ok};4.0
25-Dec-24 6:15:00 PM WEST;{ };{ok};0.3
25-Dec-24 6:30:00 PM WEST;{ };{ok};0.3
25-Dec-24 6:45:01 PM WEST;{ };{ok};3.8
25-Dec-24 7:00:00 PM WEST;{ };{ok};0.3
25-Dec-24 7:15:00 PM WEST;{ };{ok};0.3
25-Dec-24 7:30:00 PM WEST;{ };{ok};3.8
25-Dec-24 7:45:00 PM WEST;{ };{ok};0.3
25-Dec-24 8:00:00 PM WEST;{ };{ok};0.3
25-Dec-24 8:15:00 PM WEST;{ };{ok};3.7
25-Dec-24 8:30:00 PM WEST;{ };{ok};3.8
25-Dec-24 8:45:00 PM WEST;{ };{ok};0.3
25-Dec-24 9:00:00 PM WEST;{ };{ok};0.3
